"V1" "V2" "V3" "V4"
"1" 0.0473 0.0514 0.6622 0.7066
"2" 0.0527 0.0676 0.7978 0.8938
"3" 0.0507 0.4451 0.5766 0.9789
"4" 0.0536 1 0.244 1
